root: Node([[2, 8, 3], [1, 6, 4], [7, 0, 5]], direction=None)
goal: Node([[1, 2, 3], [8, 0, 4], [7, 6, 5]], direction=None)

0 node:Node([[2, 8, 3], [1, 6, 4], [7, 0, 5]], direction=None)
1 node:Node([[2, 8, 3], [1, 6, 4], [7, 0, 5]], direction=None)
2 node:Node([[2, 8, 3], [1, 6, 4], [0, 7, 5]], direction=left)
3 node:Node([[2, 8, 3], [1, 6, 4], [0, 7, 5]], direction=left)
4 node:Node([[2, 8, 3], [1, 0, 4], [7, 6, 5]], direction=up)
5 node:Node([[2, 8, 3], [1, 0, 4], [7, 6, 5]], direction=up)
6 node:Node([[2, 8, 3], [1, 6, 4], [7, 5, 0]], direction=right)
7 node:Node([[2, 8, 3], [1, 6, 4], [7, 5, 0]], direction=right)
8 node:Node([[2, 8, 3], [0, 6, 4], [1, 7, 5]], direction=up)
9 node:Node([[2, 8, 3], [0, 6, 4], [1, 7, 5]], direction=up)
10 node:Node([[2, 8, 3], [0, 1, 4], [7, 6, 5]], direction=left)
11 node:Node([[2, 8, 3], [0, 1, 4], [7, 6, 5]], direction=left)
12 node:Node([[2, 0, 3], [1, 8, 4], [7, 6, 5]], direction=up)
13 node:Node([[2, 0, 3], [1, 8, 4], [7, 6, 5]], direction=up)
14 node:Node([[2, 8, 3], [1, 4, 0], [7, 6, 5]], direction=right)
15 node:Node([[2, 8, 3], [1, 4, 0], [7, 6, 5]], direction=right)
16 node:Node([[2, 8, 3], [1, 6, 0], [7, 5, 4]], direction=up)
17 node:Node([[2, 8, 3], [1, 6, 0], [7, 5, 4]], direction=up)
18 node:Node([[0, 8, 3], [2, 6, 4], [1, 7, 5]], direction=up)
19 node:Node([[0, 8, 3], [2, 6, 4], [1, 7, 5]], direction=up)
20 node:Node([[2, 8, 3], [6, 0, 4], [1, 7, 5]], direction=right)
21 node:Node([[2, 8, 3], [6, 0, 4], [1, 7, 5]], direction=right)
22 node:Node([[0, 8, 3], [2, 1, 4], [7, 6, 5]], direction=up)
23 node:Node([[0, 8, 3], [2, 1, 4], [7, 6, 5]], direction=up)
24 node:Node([[2, 8, 3], [7, 1, 4], [0, 6, 5]], direction=down)
25 node:Node([[2, 8, 3], [7, 1, 4], [0, 6, 5]], direction=down)
26 node:Node([[0, 2, 3], [1, 8, 4], [7, 6, 5]], direction=left)
27 node:Node([[0, 2, 3], [1, 8, 4], [7, 6, 5]], direction=left)
28 node:Node([[2, 3, 0], [1, 8, 4], [7, 6, 5]], direction=right)
29 node:Node([[2, 3, 0], [1, 8, 4], [7, 6, 5]], direction=right)
30 node:Node([[2, 8, 0], [1, 4, 3], [7, 6, 5]], direction=up)
31 node:Node([[2, 8, 0], [1, 4, 3], [7, 6, 5]], direction=up)
32 node:Node([[2, 8, 3], [1, 4, 5], [7, 6, 0]], direction=down)
33 node:Node([[2, 8, 3], [1, 4, 5], [7, 6, 0]], direction=down)
34 node:Node([[2, 8, 3], [1, 0, 6], [7, 5, 4]], direction=left)
35 node:Node([[2, 8, 3], [1, 0, 6], [7, 5, 4]], direction=left)
36 node:Node([[2, 8, 0], [1, 6, 3], [7, 5, 4]], direction=up)
37 node:Node([[2, 8, 0], [1, 6, 3], [7, 5, 4]], direction=up)
38 node:Node([[8, 0, 3], [2, 6, 4], [1, 7, 5]], direction=right)
39 node:Node([[8, 0, 3], [2, 6, 4], [1, 7, 5]], direction=right)
40 node:Node([[2, 0, 3], [6, 8, 4], [1, 7, 5]], direction=up)
41 node:Node([[2, 0, 3], [6, 8, 4], [1, 7, 5]], direction=up)
42 node:Node([[2, 8, 3], [6, 7, 4], [1, 0, 5]], direction=down)
43 node:Node([[2, 8, 3], [6, 7, 4], [1, 0, 5]], direction=down)
44 node:Node([[2, 8, 3], [6, 4, 0], [1, 7, 5]], direction=right)
45 node:Node([[2, 8, 3], [6, 4, 0], [1, 7, 5]], direction=right)
46 node:Node([[8, 0, 3], [2, 1, 4], [7, 6, 5]], direction=right)
47 node:Node([[8, 0, 3], [2, 1, 4], [7, 6, 5]], direction=right)
48 node:Node([[2, 8, 3], [7, 1, 4], [6, 0, 5]], direction=right)
49 node:Node([[2, 8, 3], [7, 1, 4], [6, 0, 5]], direction=right)
50 node:Node([[1, 2, 3], [0, 8, 4], [7, 6, 5]], direction=down)
51 node:Node([[1, 2, 3], [0, 8, 4], [7, 6, 5]], direction=down)
52 node:Node([[2, 3, 4], [1, 8, 0], [7, 6, 5]], direction=down)
53 node:Node([[2, 3, 4], [1, 8, 0], [7, 6, 5]], direction=down)
54 node:Node([[2, 0, 8], [1, 4, 3], [7, 6, 5]], direction=left)
55 node:Node([[2, 0, 8], [1, 4, 3], [7, 6, 5]], direction=left)
56 node:Node([[2, 8, 3], [1, 4, 5], [7, 0, 6]], direction=left)
57 node:Node([[2, 8, 3], [1, 4, 5], [7, 0, 6]], direction=left)
58 node:Node([[2, 8, 3], [0, 1, 6], [7, 5, 4]], direction=left)
59 node:Node([[2, 8, 3], [0, 1, 6], [7, 5, 4]], direction=left)
60 node:Node([[2, 0, 3], [1, 8, 6], [7, 5, 4]], direction=up)
61 node:Node([[2, 0, 3], [1, 8, 6], [7, 5, 4]], direction=up)
62 node:Node([[2, 8, 3], [1, 5, 6], [7, 0, 4]], direction=down)
63 node:Node([[2, 8, 3], [1, 5, 6], [7, 0, 4]], direction=down)
64 node:Node([[2, 0, 8], [1, 6, 3], [7, 5, 4]], direction=left)
65 node:Node([[2, 0, 8], [1, 6, 3], [7, 5, 4]], direction=left)
66 node:Node([[8, 6, 3], [2, 0, 4], [1, 7, 5]], direction=down)
67 node:Node([[8, 6, 3], [2, 0, 4], [1, 7, 5]], direction=down)
68 node:Node([[8, 3, 0], [2, 6, 4], [1, 7, 5]], direction=right)
69 node:Node([[8, 3, 0], [2, 6, 4], [1, 7, 5]], direction=right)
70 node:Node([[0, 2, 3], [6, 8, 4], [1, 7, 5]], direction=left)
71 node:Node([[0, 2, 3], [6, 8, 4], [1, 7, 5]], direction=left)
72 node:Node([[2, 3, 0], [6, 8, 4], [1, 7, 5]], direction=right)
73 node:Node([[2, 3, 0], [6, 8, 4], [1, 7, 5]], direction=right)
74 node:Node([[2, 8, 3], [6, 7, 4], [0, 1, 5]], direction=left)
75 node:Node([[2, 8, 3], [6, 7, 4], [0, 1, 5]], direction=left)
76 node:Node([[2, 8, 3], [6, 7, 4], [1, 5, 0]], direction=right)
77 node:Node([[2, 8, 3], [6, 7, 4], [1, 5, 0]], direction=right)
78 node:Node([[2, 8, 0], [6, 4, 3], [1, 7, 5]], direction=up)
79 node:Node([[2, 8, 0], [6, 4, 3], [1, 7, 5]], direction=up)
80 node:Node([[2, 8, 3], [6, 4, 5], [1, 7, 0]], direction=down)
81 node:Node([[2, 8, 3], [6, 4, 5], [1, 7, 0]], direction=down)
82 node:Node([[8, 1, 3], [2, 0, 4], [7, 6, 5]], direction=down)
83 node:Node([[8, 1, 3], [2, 0, 4], [7, 6, 5]], direction=down)
84 node:Node([[8, 3, 0], [2, 1, 4], [7, 6, 5]], direction=right)
85 node:Node([[8, 3, 0], [2, 1, 4], [7, 6, 5]], direction=right)
86 node:Node([[2, 8, 3], [7, 0, 4], [6, 1, 5]], direction=up)
87 node:Node([[2, 8, 3], [7, 0, 4], [6, 1, 5]], direction=up)
88 node:Node([[2, 8, 3], [7, 1, 4], [6, 5, 0]], direction=right)
89 node:Node([[2, 8, 3], [7, 1, 4], [6, 5, 0]], direction=right)
90 node:Node([[1, 2, 3], [7, 8, 4], [0, 6, 5]], direction=down)
91 node:Node([[1, 2, 3], [7, 8, 4], [0, 6, 5]], direction=down)
92 node:Node([[1, 2, 3], [8, 0, 4], [7, 6, 5]], direction=right)
93 node:Node([[1, 2, 3], [8, 0, 4], [7, 6, 5]], direction=right)

result:
[2, 8, 3]	|	[2, 8, 3]	|	[2, 0, 3]	|	[0, 2, 3]	|	[1, 2, 3]	|	[1, 2, 3]
[1, 6, 4]	|	[1, 0, 4]	|	[1, 8, 4]	|	[1, 8, 4]	|	[0, 8, 4]	|	[8, 0, 4]
[7, 0, 5]	|	[7, 6, 5]	|	[7, 6, 5]	|	[7, 6, 5]	|	[7, 6, 5]	|	[7, 6, 5]

path length:	6
