root: Node([[2, 8, 3], [1, 6, 4], [7, 0, 5]], direction=None)
goal: Node([[1, 2, 3], [8, 0, 4], [7, 6, 5]], direction=None)

0 node:Node([[2, 8, 3], [1, 6, 4], [7, 0, 5]], direction=None)
1 node:Node([[2, 8, 3], [1, 6, 4], [7, 0, 5]], direction=None)
2 node:Node([[2, 8, 3], [1, 6, 4], [7, 5, 0]], direction=right)
3 node:Node([[2, 8, 3], [1, 6, 4], [7, 5, 0]], direction=right)
4 node:Node([[2, 8, 3], [1, 6, 0], [7, 5, 4]], direction=up)
5 node:Node([[2, 8, 3], [1, 6, 0], [7, 5, 4]], direction=up)
6 node:Node([[2, 8, 0], [1, 6, 3], [7, 5, 4]], direction=up)
7 node:Node([[2, 8, 0], [1, 6, 3], [7, 5, 4]], direction=up)
8 node:Node([[2, 0, 8], [1, 6, 3], [7, 5, 4]], direction=left)
9 node:Node([[2, 0, 8], [1, 6, 3], [7, 5, 4]], direction=left)
10 node:Node([[2, 6, 8], [1, 0, 3], [7, 5, 4]], direction=down)
11 node:Node([[2, 6, 8], [1, 0, 3], [7, 5, 4]], direction=down)
12 node:Node([[2, 6, 8], [1, 3, 0], [7, 5, 4]], direction=right)
13 node:Node([[2, 6, 8], [1, 5, 3], [7, 0, 4]], direction=down)
14 node:Node([[2, 6, 8], [0, 1, 3], [7, 5, 4]], direction=left)
15 node:Node([[0, 2, 8], [1, 6, 3], [7, 5, 4]], direction=left)
16 node:Node([[0, 2, 8], [1, 6, 3], [7, 5, 4]], direction=left)
17 node:Node([[1, 2, 8], [0, 6, 3], [7, 5, 4]], direction=down)
18 node:Node([[2, 8, 3], [1, 0, 6], [7, 5, 4]], direction=left)
19 node:Node([[2, 8, 3], [1, 0, 6], [7, 5, 4]], direction=left)
20 node:Node([[2, 8, 3], [1, 5, 6], [7, 0, 4]], direction=down)
21 node:Node([[2, 8, 3], [1, 5, 6], [7, 0, 4]], direction=down)
22 node:Node([[2, 8, 3], [1, 5, 6], [7, 4, 0]], direction=right)
23 node:Node([[2, 8, 3], [1, 5, 6], [7, 4, 0]], direction=right)
24 node:Node([[2, 8, 3], [1, 5, 0], [7, 4, 6]], direction=up)
25 node:Node([[2, 8, 3], [1, 5, 6], [0, 7, 4]], direction=left)
26 node:Node([[2, 8, 3], [1, 5, 6], [0, 7, 4]], direction=left)
27 node:Node([[2, 8, 3], [0, 5, 6], [1, 7, 4]], direction=up)
28 node:Node([[2, 0, 3], [1, 8, 6], [7, 5, 4]], direction=up)
29 node:Node([[2, 0, 3], [1, 8, 6], [7, 5, 4]], direction=up)
30 node:Node([[2, 3, 0], [1, 8, 6], [7, 5, 4]], direction=right)
31 node:Node([[2, 3, 0], [1, 8, 6], [7, 5, 4]], direction=right)
32 node:Node([[2, 3, 6], [1, 8, 0], [7, 5, 4]], direction=down)
33 node:Node([[0, 2, 3], [1, 8, 6], [7, 5, 4]], direction=left)
34 node:Node([[0, 2, 3], [1, 8, 6], [7, 5, 4]], direction=left)
35 node:Node([[1, 2, 3], [0, 8, 6], [7, 5, 4]], direction=down)
36 node:Node([[2, 8, 3], [0, 1, 6], [7, 5, 4]], direction=left)
37 node:Node([[2, 8, 3], [0, 1, 6], [7, 5, 4]], direction=left)
38 node:Node([[2, 8, 3], [7, 1, 6], [0, 5, 4]], direction=down)
39 node:Node([[2, 8, 3], [7, 1, 6], [0, 5, 4]], direction=down)
40 node:Node([[2, 8, 3], [7, 1, 6], [5, 0, 4]], direction=right)
41 node:Node([[0, 8, 3], [2, 1, 6], [7, 5, 4]], direction=up)
42 node:Node([[0, 8, 3], [2, 1, 6], [7, 5, 4]], direction=up)
43 node:Node([[8, 0, 3], [2, 1, 6], [7, 5, 4]], direction=right)
44 node:Node([[2, 8, 3], [1, 0, 4], [7, 6, 5]], direction=up)
45 node:Node([[2, 8, 3], [1, 0, 4], [7, 6, 5]], direction=up)
46 node:Node([[2, 8, 3], [1, 4, 0], [7, 6, 5]], direction=right)
47 node:Node([[2, 8, 3], [1, 4, 0], [7, 6, 5]], direction=right)
48 node:Node([[2, 8, 3], [1, 4, 5], [7, 6, 0]], direction=down)
49 node:Node([[2, 8, 3], [1, 4, 5], [7, 6, 0]], direction=down)
50 node:Node([[2, 8, 3], [1, 4, 5], [7, 0, 6]], direction=left)
51 node:Node([[2, 8, 3], [1, 4, 5], [7, 0, 6]], direction=left)
52 node:Node([[2, 8, 3], [1, 0, 5], [7, 4, 6]], direction=up)
53 node:Node([[2, 8, 3], [1, 0, 5], [7, 4, 6]], direction=up)
54 node:Node([[2, 8, 3], [1, 5, 0], [7, 4, 6]], direction=right)
55 node:Node([[2, 0, 3], [1, 8, 5], [7, 4, 6]], direction=up)
56 node:Node([[2, 8, 3], [0, 1, 5], [7, 4, 6]], direction=left)
57 node:Node([[2, 8, 3], [1, 4, 5], [0, 7, 6]], direction=left)
58 node:Node([[2, 8, 3], [1, 4, 5], [0, 7, 6]], direction=left)
59 node:Node([[2, 8, 3], [0, 4, 5], [1, 7, 6]], direction=up)
60 node:Node([[2, 8, 0], [1, 4, 3], [7, 6, 5]], direction=up)
61 node:Node([[2, 8, 0], [1, 4, 3], [7, 6, 5]], direction=up)
62 node:Node([[2, 0, 8], [1, 4, 3], [7, 6, 5]], direction=left)
63 node:Node([[2, 0, 8], [1, 4, 3], [7, 6, 5]], direction=left)
64 node:Node([[2, 4, 8], [1, 0, 3], [7, 6, 5]], direction=down)
65 node:Node([[2, 4, 8], [1, 0, 3], [7, 6, 5]], direction=down)
66 node:Node([[2, 4, 8], [1, 3, 0], [7, 6, 5]], direction=right)
67 node:Node([[2, 4, 8], [1, 6, 3], [7, 0, 5]], direction=down)
68 node:Node([[2, 4, 8], [0, 1, 3], [7, 6, 5]], direction=left)
69 node:Node([[0, 2, 8], [1, 4, 3], [7, 6, 5]], direction=left)
70 node:Node([[0, 2, 8], [1, 4, 3], [7, 6, 5]], direction=left)
71 node:Node([[1, 2, 8], [0, 4, 3], [7, 6, 5]], direction=down)
72 node:Node([[2, 0, 3], [1, 8, 4], [7, 6, 5]], direction=up)
73 node:Node([[2, 0, 3], [1, 8, 4], [7, 6, 5]], direction=up)
74 node:Node([[2, 3, 0], [1, 8, 4], [7, 6, 5]], direction=right)
75 node:Node([[2, 3, 0], [1, 8, 4], [7, 6, 5]], direction=right)
76 node:Node([[2, 3, 4], [1, 8, 0], [7, 6, 5]], direction=down)
77 node:Node([[2, 3, 4], [1, 8, 0], [7, 6, 5]], direction=down)
78 node:Node([[2, 3, 4], [1, 8, 5], [7, 6, 0]], direction=down)
79 node:Node([[2, 3, 4], [1, 8, 5], [7, 6, 0]], direction=down)
80 node:Node([[2, 3, 4], [1, 8, 5], [7, 0, 6]], direction=left)
81 node:Node([[2, 3, 4], [1, 0, 8], [7, 6, 5]], direction=left)
82 node:Node([[2, 3, 4], [1, 0, 8], [7, 6, 5]], direction=left)
83 node:Node([[2, 3, 4], [1, 6, 8], [7, 0, 5]], direction=down)
84 node:Node([[2, 0, 4], [1, 3, 8], [7, 6, 5]], direction=up)
85 node:Node([[2, 3, 4], [0, 1, 8], [7, 6, 5]], direction=left)
86 node:Node([[0, 2, 3], [1, 8, 4], [7, 6, 5]], direction=left)
87 node:Node([[0, 2, 3], [1, 8, 4], [7, 6, 5]], direction=left)
88 node:Node([[1, 2, 3], [0, 8, 4], [7, 6, 5]], direction=down)
89 node:Node([[1, 2, 3], [0, 8, 4], [7, 6, 5]], direction=down)
90 node:Node([[1, 2, 3], [8, 0, 4], [7, 6, 5]], direction=right)
91 node:Node([[1, 2, 3], [8, 0, 4], [7, 6, 5]], direction=right)

result:
[2, 8, 3]	|	[2, 8, 3]	|	[2, 0, 3]	|	[0, 2, 3]	|	[1, 2, 3]	|	[1, 2, 3]
[1, 6, 4]	|	[1, 0, 4]	|	[1, 8, 4]	|	[1, 8, 4]	|	[0, 8, 4]	|	[8, 0, 4]
[7, 0, 5]	|	[7, 6, 5]	|	[7, 6, 5]	|	[7, 6, 5]	|	[7, 6, 5]	|	[7, 6, 5]

path length:	6
